Date,Open,High,Low,Close,Volume,ticker
2024-01-02 00:00:00-05:00,160.17692675575273,163.09457557227162,160.00642185144383,163.0093231201172,9977400,JPM
2024-01-03 00:00:00-05:00,162.80093544417744,162.9714403661268,161.38947095422876,162.2988739013672,9852300,JPM
2024-01-04 00:00:00-05:00,162.64200181002505,165.2249889082347,162.54668305166135,163.37591552734375,11972500,JPM
2024-01-05 00:00:00-05:00,163.4330960040298,165.25357661087241,163.4330960040298,164.1956024169922,10066000,JPM
2024-01-08 00:00:00-05:00,163.95729064941406,164.28135109009963,161.54587491346962,163.95729064941406,11229900,JPM
2024-01-09 00:00:00-05:00,163.57605253977218,163.73808278220446,162.1273064155779,162.6610565185547,9923600,JPM
2024-01-10 00:00:00-05:00,162.03201526200067,163.0613968688974,161.03122637666203,163.00421142578125,9670200,JPM
2024-01-11 00:00:00-05:00,162.3465248460795,162.37511756325273,160.73573390852152,162.31793212890625,11919500,JPM
2024-01-12 00:00:00-05:00,165.6538904699053,168.04623999703182,160.98354774460927,161.12652587890625,19436500,JPM
2024-01-16 00:00:00-05:00,157.14242238539558,160.21149988215635,156.59914624931994,160.11619567871094,17206400,JPM
2024-01-17 00:00:00-05:00,159.49665940891614,161.14558362965596,158.68650820042498,159.2583770751953,11107500,JPM
2024-01-18 00:00:00-05:00,159.2869952568206,159.67778183706136,157.49512171042235,159.57293701171875,9382300,JPM
2024-01-19 00:00:00-05:00,159.69685192528067,162.57530711076893,159.2488798931695,162.32748413085938,13115700,JPM
2024-01-22 00:00:00-05:00,162.47044192364703,163.91918812242486,161.7555948824447,162.1368408203125,12837500,JPM
2024-01-23 00:00:00-05:00,161.71745692199738,161.79370901610295,160.54511188027425,161.0693359375,8360800,JPM
2024-01-24 00:00:00-05:00,161.42197810648736,162.99463562700143,160.94541345862262,162.508544921875,9967100,JPM
2024-01-25 00:00:00-05:00,164.23373703536978,164.88187263916845,162.89936159166894,164.83421325683594,8873500,JPM
2024-01-26 00:00:00-05:00,164.51964304532098,164.94854830593454,163.72854400998565,164.20510864257812,7443000,JPM
2024-01-29 00:00:00-05:00,164.16700911633845,164.73887801633018,163.27106517505794,164.634033203125,6971200,JPM
