Date,Open,High,Low,Close,Volume,ticker
2024-01-02 00:00:00-05:00,31.645432543821634,32.2899040676483,31.531703338259945,32.128787994384766,36668600,BAC
2024-01-03 00:00:00-05:00,31.891843301064178,32.00557248259247,31.503265283405806,31.77811050415039,45988700,BAC
2024-01-04 00:00:00-05:00,31.816017982718062,32.517355692678514,31.787586594268685,32.034000396728516,39834600,BAC
2024-01-05 00:00:00-05:00,32.03400372958199,32.877502084932935,31.948705939974282,32.63108825683594,49242400,BAC
2024-01-08 00:00:00-05:00,32.50787536492413,32.50787536492413,31.88235952650511,32.37519073486328,40253900,BAC
2024-01-09 00:00:00-05:00,32.05295815643265,32.071913621884846,31.759153865001675,31.872886657714844,39268800,BAC
2024-01-10 00:00:00-05:00,31.74968009334201,31.87288881944504,31.503266256521563,31.844453811645508,34904000,BAC
2024-01-11 00:00:00-05:00,31.6169938100498,31.749678454982085,31.067296149175554,31.417966842651367,48790600,BAC
2024-01-12 00:00:00-05:00,30.564991423327548,31.455876693507385,30.29014257074304,31.086254119873047,74344300,BAC
2024-01-16 00:00:00-05:00,30.716626994842542,30.811400701849404,30.15745344657764,30.4417781829834,58420800,BAC
2024-01-17 00:00:00-05:00,30.06268015778811,30.31857352411578,29.636193021601386,30.138500213623047,48811300,BAC
2024-01-18 00:00:00-05:00,30.091110462838323,30.110065926897345,29.75939707257561,30.072154998779297,35484400,BAC
2024-01-19 00:00:00-05:00,30.138502475964327,30.546035984553292,29.92052002503767,30.53656005859375,49493600,BAC
2024-01-22 00:00:00-05:00,30.66923844177636,31.26632288591012,30.63132751492041,30.84930992126465,43903400,BAC
2024-01-23 00:00:00-05:00,30.839835045353944,31.105204311594363,30.697670872505093,31.057817459106445,30003400,BAC
2024-01-24 00:00:00-05:00,31.30423614882689,31.598040464740013,31.19050696202225,31.25684928894043,36403900,BAC
2024-01-25 00:00:00-05:00,31.47482831978043,31.70229028408182,31.11468533143236,31.645423889160156,46204000,BAC
2024-01-26 00:00:00-05:00,31.654901055601123,31.910790775096775,31.5790792013913,31.683332443237305,30839800,BAC
2024-01-29 00:00:00-05:00,31.65490256593397,31.891840448567056,31.503262465664204,31.85392951965332,30269300,BAC
2024-01-30 00:00:00-05:00,32.12878026060461,33.06705230756124,32.071913863819056,32.9722785949707,60315700,BAC
2024-01-31 00:00:00-05:00,32.763766700389674,33.266073802202406,32.22354867362151,32.23302459716797,54716000,BAC
2024-02-01 00:00:00-05:00,32.157210429367225,32.460490636595104,31.209458877933788,31.79706382751465,57084800,BAC
2024-02-02 00:00:00-05:00,31.626467489941994,31.948703154208733,31.436916461187707,31.72124481201172,40416000,BAC
2024-02-05 00:00:00-05:00,31.38005416980987,31.55064973679492,31.1431162840401,31.266324996948242,43573000,BAC
2024-02-06 00:00:00-05:00,31.19998218146376,31.61699521594885,31.162074863644225,31.3137149810791,27188000,BAC
2024-02-07 00:00:00-05:00,31.33266670338447,31.522214115987698,30.925133258594258,31.446395874023438,29660100,BAC
2024-02-08 00:00:00-05:00,31.323189766232716,31.541172201147166,31.086251865405863,31.3895320892334,36852200,BAC
2024-02-09 00:00:00-05:00,31.370577311599476,31.512741501368886,31.124163480102766,31.342145919799805,36176000,BAC
2024-02-12 00:00:00-05:00,31.275800295032006,32.19512043032438,31.25684483070395,31.863405227661133,34160400,BAC
2024-02-13 00:00:00-05:00,31.389531206799926,31.569606320212685,30.659762058922492,31.038864135742188,43801500,BAC
2024-02-14 00:00:00-05:00,31.25684742536943,31.446398468999675,31.15259417060352,31.399011611938477,27833900,BAC
2024-02-15 00:00:00-05:00,31.57908419237452,32.451017576669045,31.57908419237452,32.28989791870117,41683100,BAC
2024-02-16 00:00:00-05:00,32.147733492622265,32.36571954864391,30.792451990473594,32.30885314941406,33290700,BAC
2024-02-20 00:00:00-05:00,32.015050466176376,32.308854787347,32.00557454018379,32.185646057128906,30372900,BAC
2024-02-21 00:00:00-05:00,31.616994273344538,31.977140897284826,31.436919153681654,31.93922996520996,37847100,BAC
2024-02-22 00:00:00-05:00,31.626467561556083,32.28989435600575,31.626467561556083,31.85392951965332,42756900,BAC
2024-02-23 00:00:00-05:00,31.967660282777068,32.27094049841785,31.740201928739157,32.14773178100586,30586000,BAC
2024-02-26 00:00:00-05:00,32.02452508437995,32.43205853173967,31.77810766182585,31.85392951965332,31129200,BAC
2024-02-27 00:00:00-05:00,31.967663240931405,32.631090129805884,31.948707773776626,32.48892593383789,40536300,BAC
2024-02-28 00:00:00-05:00,32.43205908873036,32.79220207344045,32.32780584011973,32.517356872558594,39548600,BAC
2024-02-29 00:00:00-05:00,32.765509842182695,33.0709264629524,32.593712537893076,32.94684982299805,43863400,BAC
2024-03-01 00:00:00-05:00,32.95639279533359,33.07092675979025,32.479178865990896,32.78459548950195,38432300,BAC
2024-03-04 00:00:00-05:00,32.72732919778418,33.80582995945828,32.68915121307368,33.54813766479492,49136400,BAC
2024-03-05 00:00:00-05:00,33.33817041361888,34.09216940928631,33.280903422770024,33.77720642089844,47591600,BAC
2024-03-06 00:00:00-05:00,34.02535351349928,34.15897282683941,33.47178362582938,33.80583190917969,49149700,BAC
2024-03-07 00:00:00-05:00,33.97762842296207,34.2639596773241,33.64358014734388,34.006263732910156,35900700,BAC
2024-03-08 00:00:00-05:00,34.235322732646125,34.4834759891302,33.882185480875826,33.97762680053711,42769900,BAC
2024-03-11 00:00:00-04:00,33.77719969853303,34.29259159103735,33.66266938048312,34.25441360473633,34131500,BAC
2024-03-12 00:00:00-04:00,34.26395706412661,34.50256399732845,34.14942311477566,34.32122039794922,29260400,BAC
2024-03-13 00:00:00-04:00,34.3212189242194,34.788890095188805,34.3212189242194,34.435752868652344,38289600,BAC
2024-03-14 00:00:00-04:00,34.283044106036776,34.56937535268619,33.8630971935923,34.06352615356445,40178100,BAC
2024-03-15 00:00:00-04:00,33.672214706502274,34.368946627486764,33.63404035805024,33.79629135131836,69646400,BAC
2024-03-18 00:00:00-04:00,34.03490155413613,34.44530587599617,33.77720556314119,34.36894989013672,50617900,BAC
2024-03-19 00:00:00-04:00,34.25441550195557,34.7316294345899,34.216237513540015,34.38803482055664,46113800,BAC
2024-03-20 00:00:00-04:00,34.20669285396746,35.19929865011225,34.1017052123373,35.07522201538086,40519000,BAC
2024-03-21 00:00:00-04:00,35.247016690399285,35.88648152788109,35.19929603162276,35.80058288574219,43219500,BAC
